Type,Name,Population,X,Y,COUNTY_08,DIST_08,CLAN_08,DEMAND_MW,HOSP_MAIN_LOC,HOSP_ALT-NAME,Clinics,ClinDem,HC,HCDem,SumHlthDem,Pri_Schools,PriSchDem,Sec_Schools,SecSchDem,Both_PriSec,BothPriSecDem,SumEduDem,demand (household) > target household penetration rate,FullProdDem,demand (productive) > projected productive demand,demand (social infrastructure) > projected health facility demand per year,demand (social infrastructure) > projected education facility demand per year
Palm Oil Plantation,Palm Oil Plantation 7,0,479139,593972,Sinoe,Sanquin Dist# 3,,1,,,,,,,,,,,,,,,0,6136200,6136200,0,0
Palm Oil Plantation,Palm Oil Plantation 10,0,559289,688464,Grand Gedeh,B'hai,,1,,,,,,,,,,,,,,,0,6136200,6136200,0,0
Palm Oil Plantation,Palm Oil Plantation 9,0,646081,652311,Grand Gedeh,Konobo,,1,,,,,,,,,,,,,,,0,6136200,6136200,0,0
Palm Oil Plantation,Palm Oil Plantation 8,0,646188,505386,Maryland,Pleebo/Sodoken,,1,,,,,,,,,,,,,,,0,6136200,6136200,0,0
Rubber Plantation,BF Goodrich  - Rubber Plantation,0,282609,742864,Bomi,Klay,,2.5,,,,,,,,,,,,,,,0,15340500,15340500,0,0
Rubber Plantation,BF Goodrich - Rubber Plantation,0,289946,733618,Bomi,Senjeh,,2.5,,,,,,,,,,,,,,,0,15340500,15340500,0,0
Rubber Plantation,Cavalla - Rubber Plantation,0,651607,506751,Maryland,Pleebo/Sodoken,,5,,,,,,,,,,,,,,,0,30681000,30681000,0,0
Rubber Plantation,Firestone  - Rubber Plantation,0,348852,707623,Margibi,Firestone,,2.4,,,,,,,,,,,,,,,0,14726880,14726880,0,0
Rubber Plantation,Firestone  - Rubber Plantation,0,374723,735201,Margibi,Kakata,,2.4,,,,,,,,,,,,,,,0,14726880,14726880,0,0
Rubber Plantation,Lac  - Rubber Plantation,0,417013,676159,Grand Bassa,District # 3,,2.5,,,,,,,,,,,,,,,0,15340500,15340500,0,0
Rubber Plantation,Libco - Rubber Plantation,0,525864,800466,Nimba,Yarpea Mahn,,2.5,,,,,,,,,,,,,,,0,15340500,15340500,0,0
Rubber Plantation,SRP - Rubber Plantation,0,504892,575427,Sinoe,Wedjah,,2,,,,,,,,,,,,,,,0,12272400,12272400,0,0
Rubber Plantation,Salala - Rubber Plantation,0,396447.276,753296.908,Bong,Salala,,8,,,,,,,,,,,,,,,0,49089600,49089600,0,0
Hosp,Liberia Govt Hosp,0,297694.4876,759358.6723,Bomi,Tubmanburg,,,Tubmanburg,Liberia Government Hospital,,,,,50000,,,,,,,,0,0,0,216097.1188,0
Hosp,Bong Mines Hospital,0,350063.5014,752661.5176,Bong,Fuamah,,,Zweata,,,,,,50000,,,,,,,,0,0,0,216097.1188,0
Hosp,Bong Mines OPD,0,350063.5014,752661.5176,Bong,Fuamah,,,Zweata,Bong Mines OPD,,,,,50000,,,,,,,,0,0,0,216097.1188,0
Hosp,Phebe Hospital,0,438883.4755,776823.9004,Bong,Suakoko,,,Phebe Com,Phebe Hospital,,,,,50000,,,,,,,,0,0,0,216097.1188,0
Hosp,Phebe OPD,0,438777.5001,776871.5631,Bong,Suakoko,,,Phebe Com,Phebe OPD,,,,,50000,,,,,,,,0,0,0,216097.1188,0
Hosp,Liberia Govt Hospital,0,384210.3569,650517.7018,Grand Bassa,District #3,,,Buchanan,Liberia Govt Hospital,,,,,50000,,,,,,,,0,0,0,216097.1188,0
Hosp,SATMH - Mittal Steel Hosp,0,386254.7081,649052.3113,Grand Bassa,District #3,,,Buchanan,SATMH - Mittal Steel Hosp,,,,,50000,,,,,,,,0,0,0,216097.1188,0
Hosp,LAC (Lib Agro Co),0,418351.6265,673216.8969,Grand Bassa,District #3,,,,LAC (Lib Agro Co),,,,,50000,,,,,,,,0,0,0,216097.1188,0
Hosp,St. Timothy's Hospital,0,238317.7886,746808.9128,Grand Cape Mount,Commonwealth,,,Robertsport,St. Timothy's Hospital,,,,,50000,,,,,,,,0,0,0,216097.1188,0
Hosp,MTM,0,596868.8091,671878.6937,Grand Gedeh,Tchien,,,Zwedru,Martha Tubman Memorial Hospital,,,,,50000,,,,,,,,0,0,0,216097.1188,0
Hosp,Rally Time Hospital,0,586313.8455,505754.6008,Grand Kru,Upper Kru,,,Rally Time,Rally Time Hospital,,,,,50000,,,,,,,,0,0,0,216097.1188,0
Hosp,Curran Lutheran Hospital,0,452299.419,859452.672,Lofa,Zorzor,,,Zorzor,Curran Lutheran Hospital,,,,,50000,,,,,,,,0,0,0,216097.1188,0
Hosp,Faith,0,417147.7898,930809.6631,Lofa,Kolahun,,,Voinjama,Emergency Surgical Hospital,,,,,50000,,,,,,,,0,0,0,216097.1188,0
Hosp,Kolahun Hospital,0,380613.5831,917052.746,Lofa,Kolahun,,,Kolahun,Kolahun Hospital,,,,,50000,,,,,,,,0,0,0,216097.1188,0
Hosp,Tellewoyan Hospital,0,417742.4898,931489.5934,Lofa,Voinjama,,,Voinjama,Tellewoyan Hospital,,,,,50000,,,,,,,,0,0,0,216097.1188,0
Hosp,Tellewoyan OPD,0,417461.3576,931281.1668,Lofa,Voinjama,,,Voinjama,Tellewoyan OPD,,,,,50000,,,,,,,,0,0,0,216097.1188,0
Hosp,C.H. Rennie Hospital,0,350928.4216,720910.5654,Margibi,Kakata,,,Kakata,C.H. Rennie Hospital,,,,,50000,,,,,,,,0,0,0,216097.1188,0
Hosp,Harbel Health Center,0,351437.0352,693344.1141,Margibi,Firestone,,,Harbel,Harbel Hospital,,,,,50000,,,,,,,,0,0,0,216097.1188,0
Hosp,J.J. Dossen Hospital,0,643206.164,484032.0178,Maryland,Harper,,,Harper,J. J. Dossen Hospital,,,,,50000,,,,,,,,0,0,0,216097.1188,0
Hosp,Benson Hospital,0,313027.6586,694853.0673,Montserrado,Greater M,,,Paynesvil,Benson Hospital,,,,,50000,,,,,,,,0,0,0,216097.1188,0
Hosp,Island Hospital,0,302400.8892,706143.886,Montserrado,Greater M,,,Monrovia,Island Hospital,,,,,50000,,,,,,,,0,0,0,216097.1188,0
Hosp,JFK Medical Center,0,303765.8208,695343.8019,Montserrado,Greater M,,,Sinkor,JFK Medical Center,,,,,50000,,,,,,,,0,0,0,216097.1188,0
Hosp,Redemption,0,301342.9907,704514.0266,Montserrado,Greater M,,,New Kru T,Redemption,,,,,50000,,,,,,,,0,0,0,216097.1188,0
Hosp,TB Hospital,0,310083.5408,692993.624,Montserrado,Greater M,,,Monrovia,TB Hospital,,,,,50000,,,,,,,,0,0,0,216097.1188,0
Hosp,ELWA Hosp,0,312452.9564,689935.7953,Montserrado,Greater M,,,Elwa,ELWA Hosp,,,,,50000,,,,,,,,0,0,0,216097.1188,0
Hosp,SDA Cooper,0,303022.1811,696324.0076,Montserrado,Greater M,,,Sinkor,SDA Cooper,,,,,50000,,,,,,,,0,0,0,216097.1188,0
Hosp,SOS Hospital,0,306438.03,693931.3465,Montserrado,Greater M,,,Monrovia,SOS Hospital,,,,,50000,,,,,,,,0,0,0,216097.1188,0
Hosp,St. Joseph's Catholic Hospital,0,305872.0098,693775.0875,Montserrado,Greater M,,,Congo Town,St. Joseph's Catholic Hospital,,,,,50000,,,,,,,,0,0,0,216097.1188,0
Hosp,G. W. Harley Hospital,0,531537.9792,813282.9438,Nimba,Sanniquel,,,Sanniquellie,GW Harley,,,,,50000,,,,,,,,0,0,0,216097.1188,0
Hosp,Ganta Methodist Hospital,0,502454.0744,799790.5039,Nimba,Sanniquel,,,Ganta,Ganta Methodist Hospital,,,,,50000,,,,,,,,0,0,0,216097.1188,0
Hosp,Liberian American Yekepa,0,550970.467,838422.2193,Nimba,Sanniquel,,,New Yekep,Liberian American (LAMCO )Yekepa Hospital,,,,,50000,,,,,,,,0,0,0,216097.1188,0
Hosp,St. Francis Hospital,0,435722.6202,604693.0101,Rivercess,Timbo,,,Timbo(2),St. Francis H C,,,,,50000,,,,,,,,0,0,0,216097.1188,0
Hosp,F. J. Grante,0,495921.7207,553599.5668,Sinoe,Greenville,,,Greenville,F. J. Grante,,,,,50000,,,,,,,,0,0,0,216097.1188,0
Hosp,Chief Jallahlon,0,335487.035,781249.4337,Gbarpolu,Bopolu,,,Bopolu,Chief Jallahlone Medical Hospital,,,,,50000,,,,,,,,0,0,0,216097.1188,0
